trainingVars,algorithm
rendDev3_Mto3,lightgbm
rs_MESES_FMSAVMF_6_100,lightgbm
UTLCS_12,lightgbm
rs_PMPASIVO_MIN_12,lightgbm
MTOINGRESO_FINAL,lightgbm
rs_PMSAV_MAX_24,lightgbm
SF3_SF24_IND,lightgbm
SF12_SF24,lightgbm
SFENT12_SFENT24,lightgbm
ExpBCP_PRCIPL_CO_MAX_24,lightgbm
MvVP_nCurrenciesUsed_meanPrev3,lightgbm
ExpBCP_ATR_CO_MED_24,lightgbm
rs_MESES_FMSAVMF_24_0,lightgbm
MONTOADE_ACT3_MAX24_S_HIP,lightgbm
rs_MAXANTIGUEDAD_ACT_PAS_TOT,lightgbm
MvVP_maxInstallments_meanPrev3,lightgbm
MESES_ACTIVO_SF_BU_MA24,lightgbm
rsTS_percDeudaFXnoHip_12M,lightgbm
ExpBCP_MESES_ATR_CO_12_0,lightgbm
ExpBCP_NUM_TC_SUM_24,lightgbm
savTS_AmtSpentWeekday_sumPrev3,lightgbm
rcc_CTDEMPREPORTADOCLIMED24,lightgbm
resSaldo_nAccountsTotal_meanPrev3,lightgbm
MvVP_totalAmtSpent_sumPrev3,lightgbm
MvVP_nTrx_sumPrev3,lightgbm
RT_MTPGOS_CTAMIN_MED_12_12,lightgbm
Dem_EDAD,lightgbm
ExpBCP_BLQ_TC_SUM_24,lightgbm
rccSynth_totalAmtCredit_rat_3_6,lightgbm
resSaldo_totalAmt_COLOCACIONES_meanPrev3,lightgbm
savTS_AmtSpentWeekend_sumPrev3,lightgbm
savTS_nCar_sumPrev3,lightgbm
rsTS_totDeudaNoHip_ratio_min_max_12M,lightgbm
MvVP_trxMeanDay_sumPrev3,lightgbm
rcc_ATRASOMAX_CRNOR_24,lightgbm
rccTS_rendimientosDevengados_ratio_1to3M_4to6M,lightgbm
rsTS_totDeuda_FX_noHip_sumPrev12,lightgbm
Sol_nApplicApproved_sumPrev6,lightgbm
rs_ANTIGUEDAD_ACT_VIG,lightgbm
rcc_SF_DIS_CAL_CPP24,lightgbm
RT_PMSAVMF_MAX_12_12,lightgbm
MvVP_totalAmtHealth_sumPrev3,lightgbm
rcc_CTD_CONSUMO_24,lightgbm
ATRASOMAX_6,lightgbm
rat_Aplncmnt_MtoTotDeuProd_NoHip_avg24,lightgbm
rccSynth_exposureCEF_rat_3_6,lightgbm
rcc_SF_NUM_CAL_CPP24,lightgbm
ExpBCP_FLAGPR_TC_SUM_24,lightgbm
Sol_nApplic_sumPrev3,lightgbm
SPVP_shareEP_meanPrev3,lightgbm
rccTS_percIncrease_minPrev12,lightgbm
rcc_CTD_EMPRESAS_24,lightgbm
rcc_ATRASOMAX_CON_24,lightgbm
rccTS_nEntities,lightgbm
rccTS_percDeudaNormal_minPrev12,lightgbm
rs_RT_FM_PMSAVMF_SUM_6_6,lightgbm
MvVP_percAmtSpentWeekend_sumPrev3,lightgbm
savTS_nCar_rat_3_6,lightgbm
rcc_MESES_ACTIVO_SF_BU_MA3_0,lightgbm
savTS_AmtSpentWeekendNight_sumPrev6,lightgbm
trabEmpresa_NUMTRAB,lightgbm
ExpBCP_FLAGPR_CO_SUM_24,lightgbm
resSaldo_totalAmtAssets_rat_3_6,lightgbm
RT_PMPASIVO_SUM_12_24,lightgbm
Sol_nApplic_rat_3_6,lightgbm
rccTS_nLineDecreases_sumPrev12,lightgbm
savTS_AmtSpentWeekendNight_rat_3_6,lightgbm
Sol_nApplicRejected_sumPrev6,lightgbm
resSaldo_nAccounts_COLOCACIONES_rat_3_6,lightgbm
ExpBCP_VARIED_PROD_24_0,lightgbm
resSaldo_totalNetAmt_rat_3_6,lightgbm
ExpBCP_NUM_CO_MAX_24,lightgbm
resSaldo_nAccountsAssets_rat_3_6,lightgbm
rsTS_totDeuda_ratio_1to3M_4to6M,lightgbm
savTS_sumCar100,lightgbm
resSaldo_totalAmt_COLOCACIONES_rat_3_6,lightgbm
MvVP_trxMeanDay_rat_3_6,lightgbm
rccSynth_exposureCEF_meanPrev3,lightgbm
savTS_AmtSpentWeekEndDay_rat_3_3,lightgbm
MvVP_totalAmtSpentWeekend_rat_3_6,lightgbm
segmentacionRegLogistica,lightgbm
CONV_EDAD_SEX_EC_RCC,lightgbm
TIPO_INGRESO_FINAL,lightgbm
